City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,9.51,63,2,1.53,NZ,1726964863
1,stanley,54.868,-1.6985,11.82,93,75,2.06,GB,1726964864
2,udachny,66.4167,112.4,-1.93,79,53,0.58,RU,1726964865
3,alice springs,-23.7,133.8833,23.75,19,40,5.66,AU,1726964866
4,port-aux-francais,-49.35,70.2167,1.72,62,38,15.19,TF,1726964868
5,bredasdorp,-34.5322,20.0403,11.49,89,38,4.07,ZA,1726964869
6,portage la prairie,49.9728,-98.2926,14.38,56,65,4.75,CA,1726964871
7,big spring,32.2504,-101.4787,31.25,51,40,9.26,US,1726964671
8,port mathurin,-19.6833,63.4167,22.02,77,18,8.88,MU,1726964875
9,grytviken,-54.2811,-36.5092,-2.3,67,73,2.83,GS,1726964877
10,ilulissat,69.2167,-51.1,0.94,71,60,2.9,GL,1726964878
11,aasiaat,68.7098,-52.8699,-1.04,80,37,3.74,GL,1726964879
12,edinburgh of the seven seas,-37.0676,-12.3116,11.56,81,95,10.22,SH,1726964880
13,ibia,-19.4783,-46.5389,25.16,43,84,2.28,BR,1726964883
14,jasper,37.2001,-94.3502,33.03,47,20,3.6,US,1726964884
15,ribeira grande,38.5167,-28.7,21.54,90,100,1.79,PT,1726964885
16,celestun,20.8667,-90.4,28.89,69,13,5.93,MX,1726964887
17,tiksi,71.6872,128.8694,-0.57,95,100,1.89,RU,1726964888
18,port elizabeth,-33.918,25.5701,15.16,83,20,3.6,ZA,1726964889
19,georgetown,5.4112,100.3354,27.96,92,20,1.03,MY,1726964890
20,adamstown,-25.066,-130.1015,20.96,81,99,2.03,PN,1726964892
21,olhao,37.0286,-7.8411,19.94,88,20,2.06,PT,1726964893
22,santa rosalia,27.3167,-112.2833,26.11,44,0,2.47,MX,1726964894
23,fayroz koh,34.5195,65.2509,11.61,35,0,0.22,AF,1726964895
24,albany,42.6001,-73.9662,19.08,68,57,2.91,US,1726964623
25,iqaluit,63.7506,-68.5145,2.85,81,20,2.57,CA,1726964898
26,margaret river,-33.95,115.0667,12.96,76,63,0.93,AU,1726964899
27,yellowknife,62.456,-114.3525,10.79,74,40,6.17,CA,1726964901
28,tazovsky,67.4667,78.7,6.91,96,100,5.52,RU,1726964902
29,puerto natales,-51.7236,-72.4875,1.03,65,100,2.97,CL,1726964903
30,blackmans bay,-43.0167,147.3167,11.96,68,93,0.45,AU,1726964904
31,avarua,-21.2078,-159.775,22.03,83,75,5.66,CK,1726964905
32,st. john's,47.5649,-52.7093,10.44,92,100,7.6,CA,1726964907
33,camayenne,9.535,-13.6878,27.05,89,75,3.09,GN,1726964908
34,plettenberg bay,-34.0527,23.3716,12.56,78,37,3.36,ZA,1726964909
35,lizzano,40.391,17.4476,19.66,83,78,2.73,IT,1726964910
36,chonchi,-42.6128,-73.8092,6.73,93,28,1.86,CL,1726964911
37,praia da vitoria,38.7333,-27.0667,22.14,78,20,1.33,PT,1726964913
